sampling_location,duplicate_sample,sample_date,sample_time,weather_condition_dry_or_wet,top_sample_temperature_c,bottom_sample_temperature_c,site_actual_depth_ft,top_sample_depth_ft,bottom_sample_depth_ft,top_salinity_psu,bottom_salinity_psu,top_conductivity_s_m,bottom_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,percentage_o2_saturation_top_sample,percentage_o2_saturation_bottom_sample,light_trans_transparency_top_sample,light_trans_transparency_bottom_sample,top_sigma_t_kg_m3,bottom_sigma_t_kg_m3,top_fluorometer_mg_m3,bottom_fluorometer_mg_m3,ctd_conductivity_temperature_depth_profiler_ph_top_sample,ctd_conductivity_temperature_depth_profiler_ph_bottom_sample,top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s,top_sample_par_ue_s_m2,bottom_sample_par_ue_s_ue_s_m2,oxidation_reduction_potential_mv_top_sample,oxidation_reduction_potential_mv_bottom_sample,current_speed_knot,current_direction_current_direction,wind_speed_mph,wind_direction_wind_direction,sea_state,winkler_method_top_dissolved_oxygen_mg_l,winkler_method_bottom_dissolved_oxygen_mg_l,secchi_depth_ft,top_ph,bottom_ph,top_total_coliform_cells_100_ml,top_bottom_coliform_cells_100_ml,fecal_coliform_top_sample_less_than_or_greater_than_result,fecal_coliform_bottom_sample_less_than_or_greater_than_result,top_fecal_coliform_bacteria_cells_100ml,bottom_fecal_coliform_bacteria_cells_100ml,enterococcus_top_sample_less_than_or_greater_than_result,enterococcus_bottom_sample_less_than_or_greater_than_result,top_enterococci_bacteria_cells_100ml,bottom_enterococci_bacteria_cells_100ml,top_nitrate_nitrite_mg_l,bottom_nitrate_nitrite_mg_l,top_ammonium_mg_l,bottom_ammonium_mg_l,top_ortho_phosphorus_mg_l,bottom_ortho_phosphorus_mg_l,top_total_kjeldhal_nitrogen_mg_l,bottom_total_kjeldhal_nitrogen_mg_l,top_silica_mg_l,bottom_silica_mg_l,total_phosphorus_mg_l,bottom_total_phosphorus_mg_l,top_total_suspended_solid_mg_l,bottom_total_suspended_solid_mg_l,top_active_chlorophyll_a_g_l,bottom_active_chlorophyll_a_g_l,chlorophyll_top_sample_field_u_l_ysi,chlorophyll_bottom_sample_field_u_l_ysi,top_total_organic_carbon_mg_l,top_dissolved_organic_carbon_mg_l,bottom_dissolved_organic_carbon_mg_l,top_dissolved_organic_carbon_ysi_mg_l,bottom_dissolved_organic_carbon_ysi_mg_l,top_sample_depth_ysi_ft,bottom_depth_ysi_ft,top_sample_salinity_ysi_psu,bottom_sample_salinity_ysi_psu,top_sample_temperature_ysi_c,bottom_sample_temperature_ysi_c,top_bacteria_per_c_c_1909,bottom_bacteria_per_c_c_1909,top_beam_attenuation_coefficient,bottom_beam_attenuation_coefficient,top_five_day_biochemical_oxygen_demand_mg_l,bottom_five_day_biochemical_oxygen_demand_mg_l,top_pcb_plate_count_thous_ml,bottom_pcb_plate_count_thous_ml,top_coliform_log_no_ml,bottom_coliform_log_no_ml,oakwood_bod_top_sample_mg_l,oakwood_bod_bottom_sample_mg_l,oakwood_total_suspended_solid_top_sample_mg_l,oakwood_total_suspended_solid_bottom_sample_mg_l,top_turbidity_nephelometric_turbidity_units,bottom_turbidity_ysi_nephelometric_turbidity_units,sampling_comment,long,lat,type
AC1,,2021-01-11T00:00:00.000,11:38 AM,D,,,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.60,,,,,,,,,,116,,1.254,,0.2,,0.068,,0.698,,13.2,,0.142,,42,,33.2,,3.27,,,2.36,,11.72,,,,17.24,,0.20,,,,,,,,,,,,,,,,24.05,,,-73.75175,"40.76317,",Provisional
BR3,,2021-01-11T00:00:00.000,9:15 AM,D,,,11.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,,,,E,,52,,E,,24,,0.437,,0.07,,0.048,,0.517,,2.89,,0.099,,15,,36.2,,27.73,,,2.12,,10.71,,,,25.61,,4.40,,,,,,,,,,,,,,,,6.42,,,-73.8848,"40.82537,",Provisional
BR1,,2021-01-11T00:00:00.000,10:17 AM,D,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95,,,,,,739,,E,,300,,1.423,,0.074,,0.033,,0.501,,7.52,,0.064,,2,,31.4,,2.32,,,2.47,,12.92,,,,0.49,,3.06,,,,,,,,,,,,,,,,1.80,,,-73.86271,"40.89314,",Provisional
AC1,D,2021-01-11T00:00:00.000,11:38 AM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,,,,112,,1.287,,0.166,,0.068,,0.733,,10.7,,0.154,,51,,32.4,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.75175,"40.76317,",Provisional
CIC2,,2021-01-13T00:00:00.000,11:02 AM,D,,,8.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.74,,,,,,2900,,,,300,,0.51,,0.287,,0.055,,0.615,,2.72,,0.096,,9,,2.42,,2.73,,,2.05,,9.15,,,,25.40,,5.81,,,,,,,,,,,,,,,,1.18,,,-73.98564,"40.58167,",Provisional
GC4,,2021-01-13T00:00:00.000,9:36 AM,D,,,14.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81,7.82,,,E,E,36,8,E,E,12,16,0.35,,0.248,,0.056,,0.617,,1.91,1.9,0.124,,27,32,2.2,,3.12,3.74,,2.31,,10.02,9.99,,,24.99,25.09,5.42,5.43,,,,,,,,,,,,,,,14.49,16.10,lots floatable,-73.98907,"40.67803,",Provisional
GC6,,2021-01-13T00:00:00.000,10:15 AM,D,,,14.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.79,7.80,,,E,E,4,24,E,E,12,16,0.377,,0.26,,0.062,,0.725,,2.06,2.05,0.114,,21,64,2.51,,2.83,2.91,,2.16,,10.13,10.14,,,24.68,24.69,5.33,5.32,,,,,,,,,,,,,,,9.78,14.96,,-73.99639,"40.67417,",Provisional
GC3,,2021-01-13T00:00:00.000,9:21 AM,D,,,10.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,7.83,,,E,E,24,16,E,E,36,48,0.346,,0.256,,0.06,,0.623,,1.88,1.87,0.124,,29,40,2.25,,3.63,3.49,,2.53,,10.04,9.95,,,24.96,24.95,5.42,5.47,,,,,,,,,,,,,,,16.83,14.82,Working barges North and south of station. Brown water,-73.98824,"40.67943,",Provisional
GC5,,2021-01-13T00:00:00.000,9:57 AM,D,,,12.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,7.82,,,E,E,8,28,E,E,12,16,0.348,,0.253,,0.055,,0.661,,1.88,1.91,0.104,,24,81,2.29,,3.38,3.70,,2.27,,10.06,10.04,,,25.06,25.12,5.43,5.43,,,,,,,,,,,,,,,13.59,15.59,"aeration on barge south of station, pic on server",-73.99005,"40.67614,",Provisional
GC4,D,2021-01-13T00:00:00.000,9:36 AM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,8,,E,,28,,0.343,,0.277,,0.05,,0.596,,1.87,,0.105,,28,,2.31,,,,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.98907,"40.67803,",Provisional
SP1,,2021-01-13T00:00:00.000,11:44 AM,D,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.21,,,,,,40,,E,,32,,0.427,,0.074,,0.036,,0.762,,0.326,,0.166,,15,,2.48,,38.75,,,2.09,,15.30,,,,28.51,,4.14,,,,,,,,,,,,,,,,2.91,,,-73.86029,"40.65507,",Provisional
J3,,2021-01-19T00:00:00.000,10:18 AM,D,,,38.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,E,10.00,W,2,,,,8.35,,,,,,9,,,,2,,0.105,,0.056,,0.034,,0.691,,0.076,,0.128,,26,,128,,38.70,,,2.06,,13.14,,,,27.85,,4.71,,,,,,,,,,,,,,,,2.75,,,-73.88283,"40.627,",Provisional
J14,,2021-01-19T00:00:00.000,11:17 AM,D,,,9.00,,,,,,,,,,,,,,,,,,,,,,,,1.2,E,10.00,W,2,,,,8.54,,,,E,,16,,E,,2,,0.019,,0.051,,0.033,,0.672,,0.104,,0.113,,32,,65.4,,47.02,,,2.24,,12.75,,,,27.61,,3.16,,,,,,,,,,,,,,,,4.97,,,-73.82378,"40.60917,",Provisional
HC3,,2021-01-19T00:00:00.000,9:40 AM,D,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,E,10.00,W,1,,,,8.37,,,,E,,6,,E,,8,,0.219,,0.633,,0.261,,1.382,,2.12,,0.403,,48,,71,,55.00,,,2.47,,14.44,,,,26.54,,4.78,,,,,,,,,,,,,,,,3.50,,,-73.86756,"40.63856,",Provisional
J18,,2021-01-19T00:00:00.000,11:48 AM,D,,,12.00,,,,,,,,,,,,,,,,,,,,,,,,0.3,E,10.00,W,2,,,,8.51,,,,,,97,,E,,10,,0.092,,0.045,,0.033,,0.704,,0.1,,0.12,,39,,93,,38.59,,,2.2,,13.31,,,,27.43,,3.87,,,,,,,,,,,,,,,,3.75,,,-73.84795,"40.61932,",Provisional
J9A,,2021-01-19T00:00:00.000,9:54 AM,D,,,20.50,,,,,,,,,,,,,,,,,,,,,,,,0.4,E,10.00,W,2,,,,8.31,,,,,,4,,,,5,,0.13,,0.091,,0.057,,0.743,,0.124,,0.16,,28,,93.6,,47.96,,,2.33,,13.37,,,,27.56,,4.74,,,,,,,,,,,,,,,,3.26,,,-73.87367,"40.63383,",Provisional
J16,,2021-01-19T00:00:00.000,11:36 AM,D,,,6.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,E,10.00,W,2,,,,8.51,,,,E,,28,,E,,4,,0.05,,0.045,,0.033,,0.705,,0.115,,0.117,,30,,72.1,,35.78,,,2.08,,13.33,,,,27.68,,3.82,,,,,,,,,,,,,,,,4.17,,,-73.84761,"40.61143,",Provisional
J2,,2021-01-19T00:00:00.000,10:54 AM,D,,,46.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,E,10.00,W,2,,,,8.29,,,,,,4,,,,2,,0.077,,0.05,,0.033,,0.522,,0.13,,0.058,,56,,20.6,,30.01,,,1.89,,12.79,,,,28.22,,4.87,,,,,,,,,,,,,,,,3.26,,,-73.88583,"40.60805,",Provisional
J10,,2021-01-19T00:00:00.000,10:27 AM,D,,,36.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,E,10.00,W,2,,,,8.35,,,,E,,12,,,,4,,0.093,,0.106,,0.033,,0.705,,0.017,,0.104,,26,,75.8,,41.31,,,2.14,,12.91,,,,27.99,,4.73,,,,,,,,,,,,,,,,3.01,,,-73.89472,"40.62167,",Provisional
J16,D,2021-01-19T00:00:00.000,11:36 AM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,28,,E,,2,,0.057,,0.057,,0.033,,0.703,,0.139,,0.146,,30,,82.1,,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.84761,"40.61143,",Provisional
J5,,2021-01-20T00:00:00.000,10:57 AM,D,,,23.00,,,,,,,,,,,,,,,,,,,,,,,,1.4,E,8.00,W,1,,,,8.45,,,,E,,12,,,,3,,0.035,,0.045,,0.033,,0.619,,0.031,,0.08,,43,,116,,27.84,,,2.13,,13.33,,,,27.57,,4.15,,,,,,,,,,,,,,,,3.20,,,-73.809,"40.59767,",Provisional
BB4,,2021-01-20T00:00:00.000,11:32 AM,D,,,23.00,,,,,,,,,,,,,,,,,,,,,,,,0.8,E,8.00,W,1,,,,8.48,,,,E,,24,,,,11,,0.34,,0.117,,0.033,,0.89,,0.372,,0.121,,24,,113,,57.14,,,2.5,,16.03,,,,24.67,,4.50,,,,,,,,,,,,,,,,2.72,,,-73.823320,"40.652640,",Provisional
J1,,2021-01-20T00:00:00.000,10:43 AM,D,,,36.00,,,,,,,,,,,,,,,,,,,,,,,,1.3,E,8.00,W,1,,,,8.19,,,,,,2,,E,,4,,0.113,,0.075,,0.033,,0.487,,0.07,,0.053,,25,,45.5,,31.12,,,1.85,,12.09,,,,27.69,,5.02,,,,,,,,,,,,,,,,2.93,,,-73.88467,"40.57333,",Provisional
J8,,2021-01-20T00:00:00.000,11:44 AM,D,,,25.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,E,10.00,W,2,,,,8.43,,,,E,,8,,,,4,,0.143,,0.111,,0.051,,0.841,,0.076,,0.164,,24,,79.8,,49.18,,,2.35,,14.39,,,,26.93,,4.42,,,,,,,,,,,,,,,,2.71,,,-73.82083,"40.64533,",Provisional
N9A,,2021-01-20T00:00:00.000,10:15 AM,D,,,16.00,,,,,,,,,,,,,,,,,,,,,,,,1.3,E,8.00,W,1,,,,7.97,,,,,,8,,,,7,,0.156,,0.101,,0.033,,0.302,,0.469,,0.053,,27,,21.2,,11.08,,,1.98,,10.71,,,,27.93,,5.63,,,,,,,,,,,,,,,,2.17,,,-73.9355,"40.56783,",Provisional
